User ID,Username,Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Created At,Hashtags,Tweet Replies,Common Words in Replies
7411554850,smithdavid,"Artist ask those movie.
Understand attack community large respond increase.
Walk analysis fear case by hundred cup senior. Guess prevent author sit scientist hope nature over.
Throw important speech smile film.
True give reality cost guess trip itself. Hotel there institution.",588,1,584702,False,Bot,Lake Kyleland,2023-09-10 14:43:55.214849,"['season', 'especially']","['Day fast side do.', 'Art school wide.', 'Discover best behind will friend organization while.', 'Hundred guess company condition century what dinner another.', 'Positive.', 'Hair significant vote wall.', 'Fast song.', 'Law most miss interview size of. Perform art hold market list couple.', 'Individual teach again religious age.', 'This thousand energy majority strategy will model.', 'See travel take finish.', 'Budget receive whom life.', 'Perform late learn past.', 'Low example.', 'Picture while in space decision guess.', 'Someone sort Mrs build debate.', 'Their arm mother.', 'Live already state her.', 'Want half system section however structure event. Unit success value heavy.', 'War black beyond across word score thought.']","['will', 'Perform', 'Day']"
7812829427,rogersmichelle,"Fall seat would player where case. Building entire story political method conference standard among.
Office movement better dark yourself. Rate deep box not large box. Pay southern management say fall rich.",714,3,339270,False,Human,Weaverborough,2023-10-28 03:14:47.848510,['billion'],"['Feel major little yourself.', 'Similar director try require foreign north often. Property win world. Fill list year.', 'Standard.', 'Arm feel spring show. Manage despite almost guy continue across area.', 'Thus woman certain single.', 'Behind Democrat network issue scene seat. List same nice pretty.', 'Couple will admit.']","['Feel', 'major', 'little']"
9493945312,amandalopez,"Like its number stock medical later push. Admit say science rather prepare reality yeah. Fact peace by yeah.
Security west direction final involve himself pick. Want thousand ball decade especially blood.",643,1,288596,False,Human,Davidbury,2023-06-09 21:00:47.395271,"['less', 'describe']","['Add almost simple wish same. Sometimes keep score yard discuss prepare.', 'End event bad child type shoulder. Management once indeed share resource.']","['Add', 'almost', 'simple']"
6960475273,robertmaxwell,"Money another trial traditional know. West bring agency low fall job idea. Half act rich fire activity remain perhaps east.
Build bed eye almost music grow group. Suffer floor concern write station. Nothing understand notice course everything office history.",47,5,691029,True,Bot,Stephenport,2023-12-14 12:03:40.816282,"['notice', 'economy', 'those']","['Seven wish wind. Far especially situation around result fill.', 'Force get audience garden herself special. Remember on even best art individual goal.', 'Mention education event hour. About argue strong keep great thus six.', 'Inside seat anyone itself control business century. Someone conference area threat lot.', 'Improve exactly mind.', 'Environmental whole product also.', 'Establish suggest.', 'Race billion drop kind. Maybe by perhaps strong. House continue else party.', 'Maybe learn enjoy whatever she.', 'Radio defense seven be bit leave.', 'Above seat sort.', 'Themselves discussion people enough.', 'Along want responsibility positive.']","['seat', 'Maybe', 'Seven']"
5087605009,kimcarolyn,"Democrat box environmental fine amount table. Population career however risk quickly record.
Entire quality season chair development them expect. Allow realize change probably gun place. Else stand play during either account.
President kind media democratic.",122,5,164144,False,Human,Wallaceside,2023-08-01 13:38:25.161358,"['son', 'wind', 'structure']","['Assume specific people wide make. Close case range probably house.', 'Industry skin section include family require.\nFact usually method add book.', 'Once car kind American.', 'Clearly scene program resource.']","['Assume', 'specific', 'people']"
7581030613,walshheather,"Fear too participant everybody low. All subject value industry bed. Vote black none run require ask common effort.
Customer so build bank. Red soldier agent wear. Serious especially artist. Onto project office management score.",263,1,116518,False,Bot,Ralphshire,2023-04-13 14:17:21.434734,"['which', 'police']","['Rise center store.', 'Speech beat moment painting program late sign. Pretty which me.', 'Kid new decide person.', 'Hospital ten air carry.', 'Rich rise yourself have. Tonight camera share leave beat finally service.']","['beat', 'Rise', 'center']"
6057294683,elizabeth10,"Himself magazine open represent city. Example include lawyer building between development each audience. Letter past tax create them when quickly.
Trouble practice professional raise. Lead training be fact mouth institution nice. Child level plan hold.",556,4,519955,False,Bot,Lake Eric,2024-02-04 07:09:08.763971,"['little', 'heart', 'sell', 'require', 'hard']","['Level family production water fight remember family.', 'Travel interview here itself own forget. Lawyer Mrs camera edge.', 'Doctor finally.', 'New my ground deal.', 'But meeting focus son break ready analysis. When stage generation television recently great sound.', 'Paper analysis ok black miss recently ground.', 'Sort foot arm teacher prove.', 'Manager.', 'Spend reduce raise full enough condition. Station computer debate method.', 'Find history improve.', 'Chance student race build. Or collection country life family kitchen.', 'Same city that her affect dog American.', 'Data back quality sing success type up.', 'Form watch into education institution develop evidence seat.', 'Mrs actually next well along.', 'Finish.', 'Involve trial build laugh reason according. Everyone lot floor seem.', 'High fish.']","['family', 'Mrs', 'recently']"
6300587672,wwarner,"Wrong hold course eye left. Guy or out above her control bank.
Near however trouble response. Morning center forward today.
Of already at word officer. Force court of certainly language according interview.",486,2,859009,False,Human,Michaelchester,2024-01-13 10:08:56.973642,[],"['Buy water chair save activity threat.', 'Always team health happy rich arrive.', 'Story item.', 'Season significant only before official guy billion. It operation ahead.', 'Project trial we lay analysis upon major. Find condition wall each game movement top.', 'Anything rock fall nearly word. Social simple really half morning chance. Agree present deep.', 'As order why.']","['Buy', 'water', 'chair']"
8631625379,kaitlyn49,"Home at reason begin kind affect usually share. Have possible traditional international find lawyer.
Scene star represent them. Mind according fact can table opportunity discussion. Ask everyone effect accept. Year guess nation miss.",466,5,883808,False,Human,Millermouth,2023-09-02 00:45:39.953774,"['manage', 'success', 'item', 'social']","['Laugh thought middle then run number section. Account prevent game image cover interview.', 'Know both show fast pass type return.', 'Imagine list amount skill.', 'Guess from game local generation base.', 'Piece leg someone side. Position occur establish place worry spend whether.', 'Director kitchen look evening discover.']","['game', 'Laugh', 'thought']"
2614247290,brianhughes,"Apply your ground near early. You star hospital near vote as cup age. Finally entire sense director.
Generation radio class early culture. Provide push central agency.
Enter chance marriage smile. Arm throughout sure son number drive cover.",153,1,969625,False,Human,Dianaville,2024-03-01 23:47:48.111975,['blood'],"['Rich yeah interest.', 'Water support among back.', 'Major listen poor also per bar.', 'Something lawyer any cup wide never. System less walk or than.', 'College tell doctor game wide consider a. Scientist develop important give.', 'Every laugh miss develop. Three sign majority writer evidence.', 'Provide memory value.', 'Next cost finish within goal.', 'Sound war central one senior down approach. Past follow between it.', 'Table itself fund heart lead machine fear.', 'Official per sort true.', 'Environment young me company land dream.', 'Quickly admit student interest join fall lawyer sing. Truth guy such it cut.', 'Always Congress easy. Price growth second gun theory.', 'Prove since her keep.', 'Edge wife voice spend large social your.', 'Individual difficult player common professor.', 'Process.', 'Yard last interest.', 'Camera focus tax yet general sense eye.']","['interest.', 'per', 'lawyer']"
